city,price,num_restaurants,y
Amston,1.0,1,3.0
Andover,1.0,3,3.0
Ansonia,2.0,12,2.0
Ashford,1.5,4,3.0
Avon,2.1,30,4.0
Baltic,1.5,2,3.0
Bantam,2.5,6,3.0
Barkhamsted,1.0,2,3.0
Beacon Falls,2.0,4,3.0
Berlin,1.7777777777777777,18,3.0
Bethany,1.6666666666666667,3,3.0
Bethel,1.818181818181818,33,3.0
Bloomfield,1.75,12,3.0
Bolton,1.6,5,3.0
Bozrah,1.6666666666666667,3,3.0
Branford,2.057142857142857,35,3.0
Bridgeport,1.7361111111111112,72,2.0
Bridgewater,2.0,1,3.0
Bristol,1.6428571428571428,42,3.0
Broad Brook,1.6666666666666667,3,3.0
Brookfield,1.55,20,3.0
Brooklyn,1.5555555555555556,9,3.0
Burlington,1.8,5,3.0
Canaan,1.25,8,2.0
Canterbury,1.5,2,3.0
Canton,1.7222222222222223,18,3.0
Centerbrook,1.6666666666666667,6,3.0
Chaplin,1.0,1,3.0
Cheshire,1.818181818181818,11,3.0
Chester,2.272727272727273,11,3.0
Clinton,2.0,11,3.0
Colchester,1.5909090909090908,22,3.0
Colebrook,1.0,1,3.0
Columbia,1.3333333333333333,3,3.0
Cos Cob,2.125,8,4.0
Coventry,1.5555555555555556,9,3.0
Cromwell,1.7692307692307692,13,3.0
Danbury,1.8172043010752688,93,3.0
Danielson,1.5,14,2.0
Darien,2.0869565217391304,23,4.0
Dayville,1.5384615384615383,13,3.0
Deep River,1.5714285714285714,7,3.0
Derby,1.9333333333333331,15,2.0
East Berlin,1.0,1,3.0
East Granby,1.375,8,3.0
East Haddam,2.0,7,3.0
East Hampton,1.7333333333333334,15,3.0
East Hartford,1.5555555555555556,27,2.0
East Haven,1.9285714285714288,14,3.0
East Lyme,1.8333333333333333,12,3.0
East Windsor,1.0,1,3.0
Eastford,2.0,1,3.0
Easton,1.5,2,4.0
Ellington,1.75,8,3.0
Enfield,1.59375,32,3.0
Essex,1.8,10,4.0
Fairfield,2.0888888888888895,45,4.0
Falls Village,1.5,2,3.0
Farmington,1.7692307692307692,26,3.0
Gales Ferry,2.0,2,3.0
Gaylordsville,2.0,2,3.0
Glastonbury,1.8695652173913044,23,3.0
Goshen,1.5,2,3.0
Granby,1.75,16,3.0
Greenwich,2.2444444444444445,45,4.0
Groton,1.8333333333333333,30,3.0
Guilford,2.0,21,3.0
Haddam,2.0,5,3.0
Hamden,1.6896551724137931,29,3.0
Hartford,1.6769230769230767,130,2.0
Hebron,1.75,8,3.0
Higganum,1.625,8,3.0
Jewett City,1.2857142857142858,7,3.0
Kent,2.0,8,3.0
Killingworth,1.6666666666666667,3,3.0
Lakeville,2.125,8,3.0
Lebanon,2.0,1,3.0
Ledyard,1.5,10,3.0
Litchfield,2.142857142857143,21,3.0
Madison,1.95,20,4.0
Manchester,1.7758620689655171,58,3.0
Marlborough,1.7142857142857142,7,3.0
Meriden,1.631578947368421,19,2.0
Middlebury,2.0,10,3.0
Middlefield,2.0,5,3.0
Middletown,1.9577464788732395,71,3.0
Milford,2.0,33,3.0
Monroe,1.88,25,3.0
Moodus,1.5,2,3.0
Moosup,1.3333333333333333,3,2.0
Morris,2.6,5,3.0
Mystic,1.8979591836734693,49,3.0
Naugatuck,1.7647058823529411,17,3.0
New Britain,1.5142857142857142,35,2.0
New Canaan,2.142857142857143,21,4.0
New Fairfield,2.0,8,3.0
New Hartford,1.5,8,3.0
New Haven,1.9891304347826089,92,2.0
New London,1.868421052631579,38,2.0
New Milford,1.7647058823529411,34,3.0
New Preston,2.0,4,3.0
Newington,1.6129032258064515,31,3.0
Newtown,1.8333333333333333,36,3.0
Niantic,1.8235294117647056,17,3.0
Norfolk,1.75,4,3.0
North Branford,1.818181818181818,11,3.0
North Franklin,1.0,2,3.0
North Grosvenordale,1.0,3,3.0
North Haven,1.9166666666666667,24,3.0
North Stonington,1.5,4,3.0
North Windham,1.25,4,2.0
Norwalk,2.05,100,3.0
Norwich,1.6181818181818182,55,2.0
Oakdale,2.0,3,3.0
Oakville,2.25,4,3.0
Old Greenwich,2.125,8,4.0
Old Lyme,2.0,7,3.0
Old Saybrook,2.24,25,3.0
Orange,2.066666666666667,15,3.0
Oxford,1.6923076923076923,13,3.0
Plainfield,1.5,12,3.0
Plainville,1.7307692307692308,26,3.0
Plantsville,1.7142857142857142,21,3.0
Plymouth,1.25,4,3.0
Portland,1.5714285714285714,7,3.0
Preston,2.0,2,3.0
Prospect,2.0,8,3.0
Putnam,1.608695652173913,23,2.0
Quaker Hill,1.0,1,3.0
Redding,2.0,4,4.0
Ridgefield,2.25,20,4.0
Riverside,2.25,4,4.0
Riverton,1.0,1,3.0
Rockfall,1.5,2,3.0
Rocky Hill,1.9615384615384612,26,3.0
Salem,1.25,4,3.0
Salisbury,3.0,1,3.0
Sandy Hook,2.0,6,3.0
Seymour,1.5925925925925926,27,3.0
Sharon,2.0,2,3.0
Shelton,2.2,25,3.0
Sherman,2.0,1,3.0
Simsbury,1.9411764705882355,34,4.0
Somers,1.5714285714285714,7,3.0
South Glastonbury,1.8571428571428568,7,4.0
South Windsor,1.0,1,3.0
South Windham,2.0,1,2.0
Southbury,1.8148148148148149,27,3.0
Southington,2.0,34,3.0
Southport,2.5,10,4.0
Stafford Springs,1.5714285714285714,7,3.0
Stamford,2.090909090909091,99,3.0
Sterling,1.5,2,3.0
Stonington,1.9,10,3.0
Storrs Mansfield,1.8333333333333333,6,3.0
Stratford,1.851851851851852,27,3.0
Suffield,2.0,7,3.0
Tariffville,2.0,2,3.0
Terryville,1.4285714285714286,7,3.0
Thomaston,1.7692307692307692,13,3.0
Thompson,1.75,4,3.0
Tolland,2.142857142857143,7,3.0
Torrington,1.9,20,2.0
Trumbull,2.2222222222222223,18,3.0
Uncasville,2.0,29,3.0
Unionville,2.0,6,3.0
Vernon Rockville,1.7142857142857142,7,3.0
Voluntown,1.0,1,3.0
Wallingford,1.8285714285714283,35,3.0
Washington,2.6,5,3.0
Washington Depot,2.6666666666666665,3,3.0
Waterbury,1.8307692307692307,65,2.0
Waterford,1.9,10,3.0
Watertown,1.7586206896551724,29,3.0
