city,1,2,3,4,total_restaurants,y
Amston,1.0,0.0,0.0,0.0,1,3.0
Andover,1.0,0.0,0.0,0.0,3,3.0
Ansonia,0.0,1.0,0.0,0.0,12,2.0
Ashford,0.5,0.5,0.0,0.0,4,3.0
Avon,0.03333333333333333,0.8333333333333334,0.13333333333333333,0.0,30,4.0
Baltic,0.5,0.5,0.0,0.0,2,3.0
Bantam,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,6,3.0
Barkhamsted,1.0,0.0,0.0,0.0,2,3.0
Beacon Falls,0.0,1.0,0.0,0.0,4,3.0
Berlin,0.2222222222222222,0.7777777777777778,0.0,0.0,18,3.0
Bethany,0.3333333333333333,0.6666666666666666,0.0,0.0,3,3.0
Bethel,0.24242424242424246,0.696969696969697,0.060606060606060615,0.0,33,3.0
Bloomfield,0.25,0.75,0.0,0.0,12,3.0
Bolton,0.4,0.6,0.0,0.0,5,3.0
Bozrah,0.3333333333333333,0.6666666666666666,0.0,0.0,3,3.0
Branford,0.028571428571428567,0.8857142857142857,0.08571428571428573,0.0,35,3.0
Bridgeport,0.3194444444444444,0.6388888888888888,0.027777777777777776,0.013888888888888888,72,2.0
Bridgewater,0.0,1.0,0.0,0.0,1,3.0
Bristol,0.4047619047619048,0.5714285714285714,0.0,0.023809523809523808,42,3.0
Broad Brook,0.3333333333333333,0.6666666666666666,0.0,0.0,3,3.0
Brookfield,0.45,0.55,0.0,0.0,20,3.0
Brooklyn,0.4444444444444444,0.5555555555555556,0.0,0.0,9,3.0
Burlington,0.2,0.8,0.0,0.0,5,3.0
Canaan,0.75,0.25,0.0,0.0,8,2.0
Canterbury,0.5,0.5,0.0,0.0,2,3.0
Canton,0.2777777777777778,0.7222222222222222,0.0,0.0,18,3.0
Centerbrook,0.3333333333333333,0.6666666666666666,0.0,0.0,6,3.0
Chaplin,1.0,0.0,0.0,0.0,1,3.0
Cheshire,0.18181818181818185,0.8181818181818182,0.0,0.0,11,3.0
Chester,0.0,0.7272727272727273,0.2727272727272727,0.0,11,3.0
Clinton,0.09090909090909093,0.8181818181818182,0.09090909090909093,0.0,11,3.0
Colchester,0.4090909090909091,0.5909090909090909,0.0,0.0,22,3.0
Colebrook,1.0,0.0,0.0,0.0,1,3.0
Columbia,0.6666666666666666,0.3333333333333333,0.0,0.0,3,3.0
Cos Cob,0.125,0.625,0.25,0.0,8,4.0
Coventry,0.4444444444444444,0.5555555555555556,0.0,0.0,9,3.0
Cromwell,0.2307692307692308,0.7692307692307693,0.0,0.0,13,3.0
Danbury,0.23655913978494625,0.7096774193548387,0.053763440860215055,0.0,93,3.0
Danielson,0.5,0.5,0.0,0.0,14,2.0
Darien,0.08695652173913042,0.7826086956521741,0.08695652173913042,0.043478260869565216,23,4.0
Dayville,0.4615384615384616,0.5384615384615384,0.0,0.0,13,3.0
Deep River,0.42857142857142855,0.5714285714285714,0.0,0.0,7,3.0
Derby,0.06666666666666668,0.9333333333333332,0.0,0.0,15,2.0
East Berlin,1.0,0.0,0.0,0.0,1,3.0
East Granby,0.625,0.375,0.0,0.0,8,3.0
East Haddam,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,3.0
East Hampton,0.26666666666666666,0.7333333333333333,0.0,0.0,15,3.0
East Hartford,0.4444444444444444,0.5555555555555556,0.0,0.0,27,2.0
East Haven,0.07142857142857142,0.9285714285714286,0.0,0.0,14,3.0
East Lyme,0.16666666666666666,0.8333333333333334,0.0,0.0,12,3.0
East Windsor,1.0,0.0,0.0,0.0,1,3.0
Eastford,0.0,1.0,0.0,0.0,1,3.0
Easton,0.5,0.5,0.0,0.0,2,4.0
Ellington,0.25,0.75,0.0,0.0,8,3.0
Enfield,0.40625,0.59375,0.0,0.0,32,3.0
