city,price,num_restaurants,median_household_income,mean_household_income,per_capita_income,median_bucket,mean_bucket
Andover,1.0,3,100321,111230,40182,5,5
Ansonia,2.0,12,43305,62858,24359,2,3
Ashford,1.5,4,77870,95339,39139,4,4
Avon,2.1,30,123894,172245,66822,5,5
Barkhamsted,1.0,2,95735,102210,40156,4,5
Beacon Falls,2.0,4,83155,94002,37736,4,4
Berlin,1.7777777777777777,18,87810,104448,40865,4,5
Bethany,1.6666666666666667,3,97254,112461,42397,4,5
Bethel,1.818181818181818,33,92125,113515,43569,4,5
Bethlehem,2.0,5,84306,114218,43516,4,5
Bloomfield,1.75,12,72762,91501,39155,3,4
Bolton,1.6,5,97019,120635,49199,4,5
Bozrah,1.6666666666666667,3,77045,88628,34778,4,4
Branford,2.057142857142857,35,71938,97243,44043,3,4
Bridgeport,1.7361111111111112,72,41801,56565,21002,2,3
Bridgewater,2.0,1,98424,145879,66035,4,5
Bristol,1.6428571428571428,42,61478,74762,31709,3,3
Brookfield,1.55,20,112684,133819,47633,5,5
Brooklyn,1.5555555555555556,9,60694,74756,27244,3,3
Burlington,1.8,5,113472,131895,47339,5,5
Canaan,1.25,8,72321,90077,42222,3,4
Canterbury,1.5,2,83862,87707,33135,4,4
Canton,1.7222222222222223,18,87326,120304,47497,4,5
Chaplin,1.0,1,67054,80759,31326,3,4
Cheshire,1.818181818181818,11,106489,126359,44280,5,5
Chester,2.272727272727273,11,78750,94053,40730,4,4
Clinton,2.0,11,71455,90436,36954,3,4
Colchester,1.5909090909090908,22,97313,105512,38599,4,5
Colebrook,1.0,1,81172,92338,34330,4,4
Columbia,1.3333333333333333,3,89986,103555,39947,4,5
Coventry,1.5555555555555556,9,90309,106537,39552,4,5
Cromwell,1.7692307692307692,13,82081,101902,40905,4,5
Danbury,1.8172043010752688,93,66676,85620,31284,3,4
Darien,2.0869565217391304,23,208906,313277,96767,6,6
Deep River,1.5714285714285714,7,69395,102653,43294,3,5
Derby,1.9333333333333331,15,51596,63666,26119,3,3
Durham,1.5714285714285714,7,113152,136223,48570,5,5
East Granby,1.375,8,72684,91342,38544,3,4
East Haddam,2.0,7,82117,103376,39877,4,5
East Hampton,1.7333333333333334,15,96299,109137,42259,4,5
East Hartford,1.5555555555555556,27,48369,60216,24961,2,3
East Haven,1.9285714285714288,14,63120,78485,31781,3,4
East Lyme,1.8333333333333333,12,84029,104053,41161,4,5
East Windsor,1.6,25,74798,84660,34623,3,4
Eastford,2.0,1,78466,90672,35011,4,4
Easton,1.5,2,131189,163115,58532,5,5
Ellington,1.75,8,85545,106457,43323,4,5
Enfield,1.59375,32,67377,79354,30116,3,4
Essex,1.8,10,86376,117332,53427,4,5
Fairfield,2.0888888888888895,45,122306,176523,60155,5,5
Farmington,1.7692307692307692,26,91712,128110,52341,4,5
Glastonbury,1.8695652173913044,23,109018,151010,57709,5,5
Goshen,1.5,2,92361,98147,39089,4,4
Granby,1.75,16,102671,139097,52984,5,5
Greenwich,2.2444444444444445,45,128153,250125,90087,5,6
Griswold,1.5,2,59153,81356,30814,3,4
Groton,1.8333333333333333,30,62137,82460,35638,3,4
Guilford,2.0,21,99132,131356,52071,4,5
Haddam,2.0,5,99866,115800,46119,4,5
Hamden,1.6896551724137931,29,70791,89351,34907,3,4
Hartford,1.6769230769230767,130,30630,44434,17311,2,2
Hartland,2.0,1,91964,104018,36787,4,5
Harwinton,1.5,4,91875,123100,45301,4,5
Hebron,1.75,8,105104,124039,43632,5,5
Kent,2.0,8,60714,84455,34015,3,4
Killingly,1.0,2,55764,65445,27210,3,3
Killingworth,1.6666666666666667,3,112137,126235,48537,5,5
Lebanon,2.0,1,89375,96688,35798,4,4
Ledyard,1.5,10,84825,99378,38344,4,4
