city,1,2,3,4,total_restaurants,median_household_income,mean_household_income,per_capita_income,median_bucket,mean_bucket
Andover,1.0,0.0,0.0,0.0,3,100321,111230,40182,5,5
Ansonia,0.0,1.0,0.0,0.0,12,43305,62858,24359,2,3
Ashford,0.5,0.5,0.0,0.0,4,77870,95339,39139,4,4
Avon,0.03333333333333333,0.8333333333333334,0.13333333333333333,0.0,30,123894,172245,66822,5,5
Barkhamsted,1.0,0.0,0.0,0.0,2,95735,102210,40156,4,5
Beacon Falls,0.0,1.0,0.0,0.0,4,83155,94002,37736,4,4
Berlin,0.2222222222222222,0.7777777777777778,0.0,0.0,18,87810,104448,40865,4,5
Bethany,0.3333333333333333,0.6666666666666666,0.0,0.0,3,97254,112461,42397,4,5
Bethel,0.24242424242424246,0.696969696969697,0.060606060606060615,0.0,33,92125,113515,43569,4,5
Bethlehem,0.2,0.6,0.2,0.0,5,84306,114218,43516,4,5
Bloomfield,0.25,0.75,0.0,0.0,12,72762,91501,39155,3,4
Bolton,0.4,0.6,0.0,0.0,5,97019,120635,49199,4,5
Bozrah,0.3333333333333333,0.6666666666666666,0.0,0.0,3,77045,88628,34778,4,4
Branford,0.028571428571428567,0.8857142857142857,0.08571428571428573,0.0,35,71938,97243,44043,3,4
Bridgeport,0.3194444444444444,0.6388888888888888,0.027777777777777776,0.013888888888888888,72,41801,56565,21002,2,3
Bridgewater,0.0,1.0,0.0,0.0,1,98424,145879,66035,4,5
Bristol,0.4047619047619048,0.5714285714285714,0.0,0.023809523809523808,42,61478,74762,31709,3,3
Brookfield,0.45,0.55,0.0,0.0,20,112684,133819,47633,5,5
Brooklyn,0.4444444444444444,0.5555555555555556,0.0,0.0,9,60694,74756,27244,3,3
Burlington,0.2,0.8,0.0,0.0,5,113472,131895,47339,5,5
Canaan,0.75,0.25,0.0,0.0,8,72321,90077,42222,3,4
Canterbury,0.5,0.5,0.0,0.0,2,83862,87707,33135,4,4
Canton,0.2777777777777778,0.7222222222222222,0.0,0.0,18,87326,120304,47497,4,5
Chaplin,1.0,0.0,0.0,0.0,1,67054,80759,31326,3,4
Cheshire,0.18181818181818185,0.8181818181818182,0.0,0.0,11,106489,126359,44280,5,5
Chester,0.0,0.7272727272727273,0.2727272727272727,0.0,11,78750,94053,40730,4,4
Clinton,0.09090909090909093,0.8181818181818182,0.09090909090909093,0.0,11,71455,90436,36954,3,4
Colchester,0.4090909090909091,0.5909090909090909,0.0,0.0,22,97313,105512,38599,4,5
Colebrook,1.0,0.0,0.0,0.0,1,81172,92338,34330,4,4
Columbia,0.6666666666666666,0.3333333333333333,0.0,0.0,3,89986,103555,39947,4,5
Coventry,0.4444444444444444,0.5555555555555556,0.0,0.0,9,90309,106537,39552,4,5
Cromwell,0.2307692307692308,0.7692307692307693,0.0,0.0,13,82081,101902,40905,4,5
Danbury,0.23655913978494625,0.7096774193548387,0.053763440860215055,0.0,93,66676,85620,31284,3,4
Darien,0.08695652173913042,0.7826086956521741,0.08695652173913042,0.043478260869565216,23,208906,313277,96767,6,6
Deep River,0.42857142857142855,0.5714285714285714,0.0,0.0,7,69395,102653,43294,3,5
Derby,0.06666666666666668,0.9333333333333332,0.0,0.0,15,51596,63666,26119,3,3
Durham,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,7,113152,136223,48570,5,5
East Granby,0.625,0.375,0.0,0.0,8,72684,91342,38544,3,4
East Haddam,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7,82117,103376,39877,4,5
East Hampton,0.26666666666666666,0.7333333333333333,0.0,0.0,15,96299,109137,42259,4,5
