city,median_household_income,mean_household_income,per_capita_income,median_bucket,mean_bucket
Andover,100321,111230,40182,5,5
Ansonia,43305,62858,24359,2,3
Ashford,77870,95339,39139,4,4
Avon,123894,172245,66822,5,5
Barkhamsted,95735,102210,40156,4,5
Beacon Falls,83155,94002,37736,4,4
Berlin,87810,104448,40865,4,5
Bethany,97254,112461,42397,4,5
Bethel,92125,113515,43569,4,5
Bethlehem,84306,114218,43516,4,5
Bloomfield,72762,91501,39155,3,4
Bolton,97019,120635,49199,4,5
Bozrah,77045,88628,34778,4,4
Branford,71938,97243,44043,3,4
Bridgeport,41801,56565,21002,2,3
Bridgewater,98424,145879,66035,4,5
Bristol,61478,74762,31709,3,3
Brookfield,112684,133819,47633,5,5
Brooklyn,60694,74756,27244,3,3
Burlington,113472,131895,47339,5,5
Canaan,72321,90077,42222,3,4
Canterbury,83862,87707,33135,4,4
Canton,87326,120304,47497,4,5
Chaplin,67054,80759,31326,3,4
Cheshire,106489,126359,44280,5,5
Chester,78750,94053,40730,4,4
Clinton,71455,90436,36954,3,4
Colchester,97313,105512,38599,4,5
Colebrook,81172,92338,34330,4,4
Columbia,89986,103555,39947,4,5
Cornwall,75833,119161,49753,4,5
Coventry,90309,106537,39552,4,5
Cromwell,82081,101902,40905,4,5
Danbury,66676,85620,31284,3,4
Darien,208906,313277,96767,6,6
Deep River,69395,102653,43294,3,5
Derby,51596,63666,26119,3,3
Durham,113152,136223,48570,5,5
East Granby,72684,91342,38544,3,4
East Haddam,82117,103376,39877,4,5
East Hampton,96299,109137,42259,4,5
East Hartford,48369,60216,24961,2,3
East Haven,63120,78485,31781,3,4
East Lyme,84029,104053,41161,4,5
East Windsor,74798,84660,34623,3,4
Eastford,78466,90672,35011,4,4
Easton,131189,163115,58532,5,5
Ellington,85545,106457,43323,4,5
Enfield,67377,79354,30116,3,4
Essex,86376,117332,53427,4,5
Fairfield,122306,176523,60155,5,5
Farmington,91712,128110,52341,4,5
Franklin,87708,104382,39151,4,5
Glastonbury,109018,151010,57709,5,5
Goshen,92361,98147,39089,4,4
Granby,102671,139097,52984,5,5
Greenwich,128153,250125,90087,5,6
Griswold,59153,81356,30814,3,4
Groton,62137,82460,35638,3,4
Guilford,99132,131356,52071,4,5
Haddam,99866,115800,46119,4,5
Hamden,70791,89351,34907,3,4
Hampton,76625,93305,37031,4,4
Hartford,30630,44434,17311,2,2
Hartland,91964,104018,36787,4,5
Harwinton,91875,123100,45301,4,5
Hebron,105104,124039,43632,5,5
Kent,60714,84455,34015,3,4
Killingly,55764,65445,27210,3,3
Killingworth,112137,126235,48537,5,5
Lebanon,89375,96688,35798,4,4
Ledyard,84825,99378,38344,4,4
Lisbon,81200,95576,35711,4,4
Litchfield,82361,107893,45766,4,5
