zipcode,income_bucket,n_returns,agi,total_income,city
6001,1,2100,19313,19920,Avon
6001,2,990,36486,37528,Avon
6001,3,910,56853,58191,Avon
6001,4,860,74414,75762,Avon
6001,5,2210,316572,324034,Avon
6001,6,2190,1189801,1216237,Avon
6002,1,3260,40239,41047,Bloomfield
6002,2,2790,102477,103791,Bloomfield
6002,3,2080,128359,129872,Bloomfield
6002,4,1280,110396,111300,Bloomfield
6002,5,1810,245589,248660,Bloomfield
6002,6,690,345457,350412,Bloomfield
6010,1,9670,121282,123070,Bristol
6010,2,7420,271582,274802,Bristol
6010,3,4930,303436,306822,Bristol
6010,4,3250,281786,284516,Bristol
6010,5,4390,583986,589768,Bristol
6010,6,640,212093,217254,Bristol
6013,1,1120,11012,11270,Burlington
6013,2,570,21047,21560,Burlington
6013,3,570,35375,36019,Burlington
6013,4,510,44367,45104,Burlington
6013,5,1290,182408,185729,Burlington
6013,6,640,234351,238474,Burlington
6016,1,890,10909,11106,Broad Brook
6016,2,750,27368,27811,Broad Brook
6016,3,550,34221,34640,Broad Brook
6016,4,380,32956,33283,Broad Brook
6016,5,620,83158,84156,Broad Brook
6016,6,130,39873,41185,Broad Brook
6018,1,510,6359,6587,Canaan
6018,2,380,13233,13480,Canaan
6018,3,230,14028,14232,Canaan
6018,4,120,10206,10522,Canaan
6018,5,140,18806,19376,Canaan
6018,6,30,7863,7863,Canaan
6019,1,1180,12436,12759,Canton
6019,2,730,27378,28289,Canton
6019,3,610,38026,38882,Canton
6019,4,530,46285,46907,Canton
6019,5,1110,155782,158316,Canton
6019,6,660,287845,293507,Canton
6021,1,190,2239,2286,Colebrook
6021,2,130,4584,4744,Colebrook
6021,3,100,6250,6361,Colebrook
6021,4,100,8390,8459,Colebrook
6021,5,160,22085,22914,Colebrook
6021,6,40,15047,15047,Colebrook
6023,1,190,1974,2002,East Berlin
6023,2,110,3834,3908,East Berlin
6023,3,100,6559,6726,East Berlin
6023,4,80,7322,7354,East Berlin
6023,5,180,24789,25028,East Berlin
6023,6,50,16834,17086,East Berlin
6024,1,100,1076,1124,East Canaan
6024,2,70,2647,2697,East Canaan
6024,3,40,2783,2906,East Canaan
6024,4,20,1670,1670,East Canaan
6024,5,50,7094,7226,East Canaan
6024,6,0,0,0,East Canaan
6026,1,600,6796,6973,East Granby
6026,2,460,17105,17402,East Granby
6026,3,380,23347,23686,East Granby
6026,4,320,27880,28188,East Granby
6026,5,690,95791,97586,East Granby
6026,6,210,69149,70957,East Granby
6027,1,190,2245,2291,East Hartland
6027,2,140,5095,5207,East Hartland
6027,3,100,6200,6341,East Hartland
6027,4,100,8530,8719,East Hartland
6027,5,160,21570,21881,East Hartland
