"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI) [5],Total income Amount
,,1,17,19
00000,,"1,745,670","175,806,955","178,646,447"
00000,"$1 under $25,000",536950,6407627,6539884
00000,"$25,000 under $50,000",370340,13538717,13757722
00000,"$50,000 under $75,000",246070,15177475,15408274
00000,"$75,000 under $100,000",167820,14550981,14752155
00000,"$100,000 under $200,000",286890,39594151,40198835
00000,"$200,000 or more",137600,86538004,87989577
,,,,
06001,,"9,260","1,693,439","1,731,672"
06001,"$1 under $25,000",2100,19313,19920
06001,"$25,000 under $50,000",990,36486,37528
06001,"$50,000 under $75,000",910,56853,58191
06001,"$75,000 under $100,000",860,74414,75762
06001,"$100,000 under $200,000",2210,316572,324034
06001,"$200,000 or more",2190,1189801,1216237
,,,,
06002,,"11,910","972,517","985,082"
06002,"$1 under $25,000",3260,40239,41047
06002,"$25,000 under $50,000",2790,102477,103791
06002,"$50,000 under $75,000",2080,128359,129872
06002,"$75,000 under $100,000",1280,110396,111300
06002,"$100,000 under $200,000",1810,245589,248660
06002,"$200,000 or more",690,345457,350412
,,,,
06010,,"30,300","1,774,165","1,796,232"
06010,"$1 under $25,000",9670,121282,123070
06010,"$25,000 under $50,000",7420,271582,274802
06010,"$50,000 under $75,000",4930,303436,306822
06010,"$75,000 under $100,000",3250,281786,284516
06010,"$100,000 under $200,000",4390,583986,589768
06010,"$200,000 or more",640,212093,217254
,,,,
06013,,"4,700","528,560","538,156"
06013,"$1 under $25,000",1120,11012,11270
06013,"$25,000 under $50,000",570,21047,21560
06013,"$50,000 under $75,000",570,35375,36019
06013,"$75,000 under $100,000",510,44367,45104
06013,"$100,000 under $200,000",1290,182408,185729
06013,"$200,000 or more",640,234351,238474
,,,,
06016,,"3,320","228,485","232,181"
06016,"$1 under $25,000",890,10909,11106
06016,"$25,000 under $50,000",750,27368,27811
06016,"$50,000 under $75,000",550,34221,34640
06016,"$75,000 under $100,000",380,32956,33283
06016,"$100,000 under $200,000",620,83158,84156
06016,"$200,000 or more",130,39873,41185
,,,,
06018,,"1,410","70,495","72,060"
06018,"$1 under $25,000",510,6359,6587
06018,"$25,000 under $50,000",380,13233,13480
06018,"$50,000 under $75,000",230,14028,14232
06018,"$75,000 under $100,000",120,10206,10522
06018,"$100,000 under $200,000",140,18806,19376
06018,"$200,000 or more",30,7863,7863
,,,,
06019,,"4,820","567,752","578,660"
06019,"$1 under $25,000",1180,12436,12759
06019,"$25,000 under $50,000",730,27378,28289
06019,"$50,000 under $75,000",610,38026,38882
06019,"$75,000 under $100,000",530,46285,46907
06019,"$100,000 under $200,000",1110,155782,158316
06019,"$200,000 or more",660,287845,293507
,,,,
06021,,720,"58,595","59,811"
06021,"$1 under $25,000",190,2239,2286
06021,"$25,000 under $50,000",130,4584,4744
06021,"$50,000 under $75,000",100,6250,6361
06021,"$75,000 under $100,000",100,8390,8459
06021,"$100,000 under $200,000",160,22085,22914
06021,"$200,000 or more",40,15047,15047
,,,,
06023,,710,"61,312","62,104"
06023,"$1 under $25,000",190,1974,2002
06023,"$25,000 under $50,000",110,3834,3908
06023,"$50,000 under $75,000",100,6559,6726
06023,"$75,000 under $100,000",80,7322,7354
06023,"$100,000 under $200,000",180,24789,25028
06023,"$200,000 or more",50,16834,17086
,,,,
06024,,280,"15,270","15,623"
06024,"$1 under $25,000",100,1076,1124
06024,"$25,000 under $50,000",70,2647,2697
06024,"$50,000 under $75,000",40,2783,2906
06024,"$75,000 under $100,000",20,1670,1670
06024,"$100,000 under $200,000",50,7094,7226
06024,"$200,000 or more",**,**,**
,,,,
06026,,"2,660","240,068","244,792"
06026,"$1 under $25,000",600,6796,6973
06026,"$25,000 under $50,000",460,17105,17402
06026,"$50,000 under $75,000",380,23347,23686
06026,"$75,000 under $100,000",320,27880,28188
06026,"$100,000 under $200,000",690,95791,97586
06026,"$200,000 or more",210,69149,70957
,,,,
06027,,740,"59,168","60,355"
06027,"$1 under $25,000",190,2245,2291
06027,"$25,000 under $50,000",140,5095,5207
06027,"$50,000 under $75,000",100,6200,6341
06027,"$75,000 under $100,000",100,8530,8719
06027,"$100,000 under $200,000",160,21570,21881
06027,"$200,000 or more",50,15528,15916
,,,,
06029,,"8,170","768,427","781,634"
06029,"$1 under $25,000",1850,20913,21341
06029,"$25,000 under $50,000",1530,57012,58083
06029,"$50,000 under $75,000",1190,73565,74968
06029,"$75,000 under $100,000",940,82163,83495
06029,"$100,000 under $200,000",1950,270723,274611
06029,"$200,000 or more",710,264051,269136
,,,,
06031,,570,"48,778","49,899"
06031,"$1 under $25,000",170,2024,2092
06031,"$25,000 under $50,000",130,4838,4967
06031,"$50,000 under $75,000",80,5190,5362
06031,"$75,000 under $100,000",50,4090,4219
06031,"$100,000 under $200,000",90,12148,12435
06031,"$200,000 or more",50,20488,20824
,,,,
06032,,"9,370","1,363,206","1,387,655"
06032,"$1 under $25,000",2100,22652,23346
06032,"$25,000 under $50,000",1430,53074,54475
06032,"$50,000 under $75,000",1300,80987,82463
06032,"$75,000 under $100,000",1020,88311,89356
06032,"$100,000 under $200,000",2080,290199,295464
06032,"$200,000 or more",1440,827983,842551
,,,,
06033,,"14,680","1,986,403","2,023,676"
06033,"$1 under $25,000",3440,35852,36768
06033,"$25,000 under $50,000",2010,74826,76559
06033,"$50,000 under $75,000",1720,107249,109521
06033,"$75,000 under $100,000",1490,129636,131871
06033,"$100,000 under $200,000",3510,504649,512824
06033,"$200,000 or more",2510,1134191,1156133
,,,,
06035,,"3,750","352,321","358,385"
06035,"$1 under $25,000",890,9385,9605
06035,"$25,000 under $50,000",550,20231,20722
06035,"$50,000 under $75,000",540,33127,33855
06035,"$75,000 under $100,000",440,38438,38962
06035,"$100,000 under $200,000",960,133179,135341
06035,"$200,000 or more",370,117961,119900
,,,,
06037,,"10,100","883,672","898,848"
06037,"$1 under $25,000",2700,29923,30568
06037,"$25,000 under $50,000",1680,62419,63610
06037,"$50,000 under $75,000",1430,89123,90624
06037,"$75,000 under $100,000",1140,98566,99830
06037,"$100,000 under $200,000",2420,336047,340006
06037,"$200,000 or more",730,267594,274210
,,,,
06039,,"1,080","130,548","134,105"
06039,"$1 under $25,000",280,3119,3252
06039,"$25,000 under $50,000",230,8376,8691
06039,"$50,000 under $75,000",120,7630,7943
06039,"$75,000 under $100,000",130,11357,11862
06039,"$100,000 under $200,000",200,26814,27609
06039,"$200,000 or more",120,73252,74748
,,,,
06040,,"18,010","1,090,605","1,104,207"
06040,"$1 under $25,000",5800,73470,74605
06040,"$25,000 under $50,000",4610,168028,170075
06040,"$50,000 under $75,000",2820,174113,175972
06040,"$75,000 under $100,000",1790,154456,155869
06040,"$100,000 under $200,000",2430,331028,334447
06040,"$200,000 or more",560,189510,193239
,,,,
06042,,"12,640","771,395","779,965"
06042,"$1 under $25,000",3260,41818,42400
06042,"$25,000 under $50,000",3070,113855,115244
06042,"$50,000 under $75,000",2500,155005,156475
06042,"$75,000 under $100,000",1810,156260,157350
06042,"$100,000 under $200,000",1770,233024,235138
06042,"$200,000 or more",230,71433,73358
,,,,
06043,,"2,590","243,318","248,789"
06043,"$1 under $25,000",630,6780,6942
06043,"$25,000 under $50,000",400,14661,14895
06043,"$50,000 under $75,000",350,21787,22192
06043,"$75,000 under $100,000",300,26560,27017
06043,"$100,000 under $200,000",650,89963,91278
06043,"$200,000 or more",260,83567,86465
,,,,
06051,,"13,450","430,083","433,244"
06051,"$1 under $25,000",6660,88174,89012
06051,"$25,000 under $50,000",4330,153215,154267
06051,"$50,000 under $75,000",1520,91316,91941
06051,"$75,000 under $100,000",550,46810,47103
06051,"$100,000 under $200,000",390,50568,50921
06051,"$200,000 or more",**,**,**
,,,,
06052,,"3,980","221,851","225,113"
06052,"$1 under $25,000",1350,16971,17234
06052,"$25,000 under $50,000",1080,39472,39900
06052,"$50,000 under $75,000",640,39379,39920
06052,"$75,000 under $100,000",350,29937,30264
06052,"$100,000 under $200,000",460,62838,63495
06052,"$200,000 or more",100,33254,34300
,,,,
06053,,"15,960","692,636","699,015"
06053,"$1 under $25,000",6220,81734,82947
06053,"$25,000 under $50,000",4710,170527,172206
06053,"$50,000 under $75,000",2530,154516,155890
06053,"$75,000 under $100,000",1320,113603,114443
06053,"$100,000 under $200,000",1100,141147,142420
06053,"$200,000 or more",80,31109,31109
,,,,
06057,,"3,440","319,552","325,711"
06057,"$1 under $25,000",910,9959,10201
06057,"$25,000 under $50,000",590,21859,22447
06057,"$50,000 under $75,000",460,28352,29139
06057,"$75,000 under $100,000",390,33390,34193
06057,"$100,000 under $200,000",820,113952,115853
06057,"$200,000 or more",270,112040,113878
,,,,
06058,,810,"78,126","79,752"
06058,"$1 under $25,000",260,2995,3108
06058,"$25,000 under $50,000",140,5156,5294
06058,"$50,000 under $75,000",100,6378,6563
06058,"$75,000 under $100,000",90,7715,7994
06058,"$100,000 under $200,000",150,20189,20694
06058,"$200,000 or more",70,35693,36099
,,,,
06060,,"1,200","165,864","168,530"
06060,"$1 under $25,000",270,2444,2477
06060,"$25,000 under $50,000",120,4732,4887
06060,"$50,000 under $75,000",100,6383,6695
06060,"$75,000 under $100,000",130,11083,11278
06060,"$100,000 under $200,000",360,52481,53316
06060,"$200,000 or more",220,88741,89877
,,,,
06062,,"9,410","575,880","583,339"
06062,"$1 under $25,000",2750,33413,34015
06062,"$25,000 under $50,000",2290,85709,86880
06062,"$50,000 under $75,000",1680,103554,104688
06062,"$75,000 under $100,000",1070,92509,93364
06062,"$100,000 under $200,000",1430,190293,192326
06062,"$200,000 or more",190,70402,72066
,,,,
06063,,"1,690","145,234","147,493"
06063,"$1 under $25,000",450,5131,5303
06063,"$25,000 under $50,000",250,9280,9532
06063,"$50,000 under $75,000",240,15104,15317
06063,"$75,000 under $100,000",240,20566,21076
06063,"$100,000 under $200,000",420,58390,59201
06063,"$200,000 or more",90,36763,37064
,,,,
06065,,380,"26,592","26,835"
06065,"$1 under $25,000",110,1239,1278
06065,"$25,000 under $50,000",60,2323,2323
06065,"$50,000 under $75,000",50,2893,2994
06065,"$75,000 under $100,000",70,5723,5723
06065,"$100,000 under $200,000",90,14414,14517
06065,"$200,000 or more",**,**,**
,,,,
06066,,"15,680","997,775","1,009,620"
06066,"$1 under $25,000",4490,56408,57348
06066,"$25,000 under $50,000",3880,142586,144431
06066,"$50,000 under $75,000",2720,167812,169539
06066,"$75,000 under $100,000",1730,149171,150562
06066,"$100,000 under $200,000",2460,330858,334199
06066,"$200,000 or more",400,150940,153541
,,,,
06067,,"10,730","914,521","927,832"
06067,"$1 under $25,000",2420,27636,28243
06067,"$25,000 under $50,000",2000,74522,75839
06067,"$50,000 under $75,000",1900,118448,119905
06067,"$75,000 under $100,000",1450,125179,126448
06067,"$100,000 under $200,000",2240,307610,311031
06067,"$200,000 or more",720,261126,266366
,,,,
06068,,730,"85,356","87,157"
06068,"$1 under $25,000",200,2298,2392
06068,"$25,000 under $50,000",150,5383,5625
06068,"$50,000 under $75,000",100,5912,6157
06068,"$75,000 under $100,000",70,6369,6638
06068,"$100,000 under $200,000",120,15978,16380
06068,"$200,000 or more",90,49416,49965
,,,,
06069,,"1,140","157,646","161,544"
06069,"$1 under $25,000",350,3945,4136
06069,"$25,000 under $50,000",210,7831,8145
06069,"$50,000 under $75,000",150,9270,9697
06069,"$75,000 under $100,000",110,9389,9725
06069,"$100,000 under $200,000",180,23784,24521
06069,"$200,000 or more",140,103427,105320
,,,,
06070,,"7,630","1,110,577","1,130,595"
06070,"$1 under $25,000",1780,17172,17597
06070,"$25,000 under $50,000",940,35065,36064
06070,"$50,000 under $75,000",800,50110,51253
06070,"$75,000 under $100,000",740,64438,65752
06070,"$100,000 under $200,000",2040,292739,298176
06070,"$200,000 or more",1330,651053,661753
,,,,
06071,,"4,540","459,290","468,167"
06071,"$1 under $25,000",1150,12513,12823
06071,"$25,000 under $50,000",680,24966,25450
06071,"$50,000 under $75,000",620,38069,38672
06071,"$75,000 under $100,000",470,40786,41488
06071,"$100,000 under $200,000",1200,167273,169736
06071,"$200,000 or more",420,175683,179998
,,,,
06073,,"2,870","539,327","554,309"
06073,"$1 under $25,000",680,6717,6903
06073,"$25,000 under $50,000",280,10394,10796
06073,"$50,000 under $75,000",270,16648,17130
06073,"$75,000 under $100,000",230,19874,20322
06073,"$100,000 under $200,000",670,97404,99397
06073,"$200,000 or more",740,388290,399761
,,,,
06074,,"13,260","1,290,665","1,310,098"
06074,"$1 under $25,000",3130,33349,34150
06074,"$25,000 under $50,000",2090,77074,78627
06074,"$50,000 under $75,000",1790,111173,112716
06074,"$75,000 under $100,000",1570,137425,139059
06074,"$100,000 under $200,000",3350,469227,474556
06074,"$200,000 or more",1330,462417,470990
,,,,
06076,,"6,070","392,855","397,741"
06076,"$1 under $25,000",1670,20487,20812
06076,"$25,000 under $50,000",1420,52499,53095
06076,"$50,000 under $75,000",1030,63703,64461
06076,"$75,000 under $100,000",750,65310,65879
06076,"$100,000 under $200,000",1050,141356,142933
06076,"$200,000 or more",150,49500,50561
,,,,
06078,,"5,160","698,032","708,432"
06078,"$1 under $25,000",1260,13113,13467
06078,"$25,000 under $50,000",810,30277,30887
06078,"$50,000 under $75,000",660,40581,41293
06078,"$75,000 under $100,000",570,49366,50133
06078,"$100,000 under $200,000",1210,172435,174819
06078,"$200,000 or more",650,392260,397833
,,,,
06081,,750,"47,771","48,355"
06081,"$1 under $25,000",210,2538,2560
06081,"$25,000 under $50,000",190,6668,6830
06081,"$50,000 under $75,000",120,7188,7291
06081,"$75,000 under $100,000",90,8094,8165
06081,"$100,000 under $200,000",120,16741,16967
06081,"$200,000 or more",20,6542,6542
,,,,
06082,,"21,060","1,304,749","1,319,182"
06082,"$1 under $25,000",5990,74586,75714
06082,"$25,000 under $50,000",4930,182151,184510
06082,"$50,000 under $75,000",3710,229392,231818
06082,"$75,000 under $100,000",2530,219364,221269
06082,"$100,000 under $200,000",3470,461083,465290
06082,"$200,000 or more",430,138173,140581
,,,,
06084,,"7,180","728,152","738,892"
06084,"$1 under $25,000",1720,17798,18109
06084,"$25,000 under $50,000",1010,37966,38665
06084,"$50,000 under $75,000",890,55333,56226
06084,"$75,000 under $100,000",820,71226,72434
06084,"$100,000 under $200,000",1940,273556,276540
06084,"$200,000 or more",800,272273,276918
,,,,
06085,,"3,580","362,098","368,208"
06085,"$1 under $25,000",890,9740,9947
06085,"$25,000 under $50,000",610,22529,22996
06085,"$50,000 under $75,000",500,30899,31398
06085,"$75,000 under $100,000",360,31124,31733
